algorithm,corpus,pattern,length,rarity_bucket,comparisons,bmh_comparisons,comparison_reduction_pct
FBAS,pizza,cers who could t,16,medium,10305210.0,11201955.0,8.005254439961597
FBAS,pizza,"d, and immediately betrays the latter. These tales are apparently from the Forty Vazirs; cf. Gibbs, the 10th Vazir's Story, pp. ",128,rare,3195350.0,3882524.0,17.699156528072976
FBAS,pizza,"d, with the impression that he w",32,medium,8041258.0,8231725.0,2.313816362912998
FBAS,pizza,ds. To c,8,medium,17234532.0,17419977.0,1.0645536443590022
FBAS,pizza,dwell wi,8,medium,16686759.0,17428373.0,4.255210741702625
FBAS,pizza,e way tomorrow if I would let hi,32,medium,7658109.0,7996615.0,4.23311613726558
FBAS,pizza,"eak of the rise of the Rakaia, or rather of the numerous branches which form it; of their vast and wasteful beds; the glaciers t",128,rare,4253353.0,4756012.0,10.568917824429375
FBAS,pizza,"ement; for, though the savages a",32,rare,6796547.0,7433152.0,8.56440175042835
FBAS,pizza,"eming man, and I don't like him.""  Even at that time Bonaparte h",64,rare,4761969.0,5084353.0,6.340708444122585
FBAS,pizza,ercised under equal conditions with men.  We have had queens as ,64,rare,4819988.0,6007333.0,19.764927298020602
FBAS,pizza,"ernacchi was the physicist, Hodgson the biologist, and Ferrar the geologist.  On August 6, 1901, the expedition left Cowes, and ",128,rare,4318939.0,5899807.0,26.79524940392118
FBAS,pizza,"es of to-day, Swathed in fine linen cerecloths fold on fold, Wit",64,rare,4665765.0,5021455.0,7.08340510867866
FBAS,pizza,ess of these thy Ministers. Is this of envy or is it not? They w,64,rare,4124264.0,4241846.0,2.771953531552065
FBAS,pizza,etre of my long ,16,medium,10013581.0,11815577.0,15.251019903640762
FBAS,pizza,"ey hold it as theirs, and the first Thanadar's district which they took was that of Perna, which is by the seaside. There they c",128,rare,3236059.0,3320055.0,2.5299580880437222
FBAS,pizza,ey led him off as to execution. ,32,rare,7010180.0,8531586.0,17.8326280717325
FBAS,pizza,"g on a grass plot, and with his last breath put her in mind of h",64,medium,5564367.0,5868750.0,5.1865047923322685
FBAS,pizza,ge-feast whereof the merry-makin,32,rare,6257026.0,6800636.0,7.993517076932216
FBAS,pizza,his neck,8,medium,17637014.0,17647444.0,0.059102043332734194
FBAS,pizza,ho endeavoured t,16,medium,10943339.0,12300355.0,11.032331993670102
FBAS,pizza,ht there,8,common,19121373.0,19777430.0,3.3172004653789697
FBAS,pizza,ibe-Buy ,8,rare,14250386.0,17133399.0,16.826859632464053
FBAS,pizza,"ily bread, and you will earn your reward and recompense in Heave",64,medium,4625709.0,5075244.0,8.857406658674932
FBAS,pizza,in Sydne,8,medium,16002420.0,17105149.0,6.44676640934259
FBAS,pizza,ived a b,8,medium,18264865.0,18222906.0,-0.23025416473091614
FBAS,pizza,liest raiment and the twain were ready to fly for joy at reunion,64,rare,5053607.0,5454055.0,7.342206853432905
FBAS,pizza,ly deed.,8,medium,16165057.0,16192294.0,0.16820964342668185
FBAS,pizza,"mats, etc.: here, however, it ma",32,rare,6781772.0,7217827.0,6.04136120192407
FBAS,pizza,"me for--""(Frere gave him an impl",32,rare,6219314.0,6425224.0,3.2047131742021757
FBAS,pizza,"n her strong head and miserable heart. She told Frank, and watch",64,medium,5150729.0,5381481.0,4.287890266638496
FBAS,pizza,"n the wall! rats on the cellar bottom! How I ever stirred from the spot I do not know, but when I did stir, it was to go forward",128,rare,3573188.0,3701403.0,3.463956775309254
FBAS,pizza,ndication of the,16,medium,10816131.0,13758429.0,21.385421257034505
FBAS,pizza,nding affluence. He fell in love with a slave-girl; so he bought her and she loved him as he loved her; and he ceased not to spe,128,rare,3938549.0,4361785.0,9.703275149967272
FBAS,pizza,open air.  The old men are often,32,medium,8075135.0,8483281.0,4.8111809569905795
FBAS,pizza,"operas, more than a hundred colleges and universities or musical",64,medium,5441430.0,5598918.0,2.8128291930690894
